match_id,season,team,player,runs,balls_faced,fours,sixes,strike_rate,wickets,balls_bowled,runs_conceded,overs_display,overs_math,economy
1082599,10,dc,SW Billings,24,17,4,0,141.18,0,0,0,0.0,0.0,0.0
1082599,10,dc,SV Samson,102,63,8,5,161.9,0,0,0,0.0,0.0,0.0
1082599,10,dc,RR Pant,31,22,1,2,140.91,0,0,0,0.0,0.0,0.0
1082599,10,dc,CJ Anderson,2,4,0,0,50.0,0,6,10,1.0,1.0,10.0
1082599,10,dc,CH Morris,38,9,4,3,422.22,1,12,19,2.0,2.0,9.5
1082599,10,dc,KK Nair,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
1082599,10,dc,PJ Cummins,0,0,0,0,0.0,2,19,24,3.1,3.17,7.57
1082599,10,dc,A Mishra,0,0,0,0,0.0,3,18,11,3.0,3.0,3.67
1082599,10,dc,Z Khan,0,0,0,0,0.0,3,18,20,3.0,3.0,6.67
1082599,10,dc,S Nadeem,0,0,0,0,0.0,1,24,23,4.0,4.0,5.75
1082599,10,rps,AM Rahane,10,9,0,0,111.11,0,0,0,0.0,0.0,0.0
1082599,10,rps,MA Agarwal,20,18,2,0,111.11,0,0,0,0.0,0.0,0.0
1082599,10,rps,F du Plessis,8,7,1,0,114.29,0,0,0,0.0,0.0,0.0
1082599,10,rps,RA Tripathi,10,5,2,0,200.0,0,0,0,0.0,0.0,0.0
1082599,10,rps,BA Stokes,2,5,0,0,40.0,0,24,41,4.0,4.0,10.25
1082599,10,rps,MS Dhoni,11,14,0,1,78.57,0,0,0,0.0,0.0,0.0
1082599,10,rps,R Bhatia,16,17,0,1,94.12,0,12,21,2.0,2.0,10.5
1082599,10,rps,DL Chahar,14,6,0,2,233.33,1,18,35,3.0,3.0,11.67
1082599,10,rps,A Zampa,5,7,1,0,71.43,1,24,45,4.0,4.0,11.25
1082599,10,rps,AB Dinda,7,7,1,0,100.0,0,18,36,3.0,3.0,12.0
1082599,10,rps,Imran Tahir,0,2,0,0,0.0,1,24,24,4.0,4.0,6.0
1082600,10,mi,PA Patel,39,24,7,0,162.5,0,0,0,0.0,0.0,0.0
1082600,10,mi,JC Buttler,14,11,3,0,127.27,0,0,0,0.0,0.0,0.0
1082600,10,mi,RG Sharma,4,4,0,0,100.0,0,0,0,0.0,0.0,0.0
1082600,10,mi,N Rana,45,36,3,2,125.0,0,0,0,0.0,0.0,0.0
1082600,10,mi,KA Pollard,11,11,0,1,100.0,0,0,0,0.0,0.0,0.0
1082600,10,mi,KH Pandya,37,20,3,3,185.0,0,7,12,1.1,1.17,10.26
1082600,10,mi,HH Pandya,2,3,0,0,66.67,1,18,22,3.0,3.0,7.33
1082600,10,mi,Harbhajan Singh,3,3,0,0,100.0,2,24,23,4.0,4.0,5.75
1082600,10,mi,MJ McClenaghan,0,0,0,0,0.0,1,24,42,4.0,4.0,10.5
1082600,10,mi,SL Malinga,0,0,0,0,0.0,1,24,30,4.0,4.0,7.5
1082600,10,mi,JJ Bumrah,0,0,0,0,0.0,3,24,24,4.0,4.0,6.0
1082600,10,srh,S Dhawan,48,42,5,1,114.29,0,0,0,0.0,0.0,0.0
1082600,10,srh,DA Warner,49,34,7,2,144.12,0,0,0,0.0,0.0,0.0
1082600,10,srh,DJ Hooda,9,9,1,0,100.0,1,12,18,2.0,2.0,9.0
1082600,10,srh,Yuvraj Singh,5,7,1,0,71.43,0,0,0,0.0,0.0,0.0
1082600,10,srh,BCJ Cutting,20,10,4,0,200.0,0,12,18,2.0,2.0,9.0
1082600,10,srh,NV Ojha,9,9,0,0,100.0,0,0,0,0.0,0.0,0.0
1082600,10,srh,V Shankar,1,2,0,0,50.0,0,0,0,0.0,0.0,0.0
1082600,10,srh,Rashid Khan,2,4,0,0,50.0,1,24,19,4.0,4.0,4.75
1082600,10,srh,B Kumar,4,3,0,0,133.33,3,24,21,4.0,4.0,5.25
1082600,10,srh,A Nehra,0,0,0,0,0.0,1,24,46,4.0,4.0,11.5
1082600,10,srh,Mustafizur Rahman,0,0,0,0,0.0,0,16,34,2.4,2.67,12.73
1082601,10,pk,HM Amla,25,27,4,0,92.59,0,0,0,0.0,0.0,0.0
1082601,10,pk,M Vohra,28,19,4,1,147.37,0,0,0,0.0,0.0,0.0
1082601,10,pk,MP Stoinis,9,12,1,0,75.0,0,9,14,1.3,1.5,9.33
1082601,10,pk,GJ Maxwell,25,14,3,1,178.57,0,6,18,1.0,1.0,18.0
1082601,10,pk,DA Miller,28,17,2,2,164.71,0,0,0,0.0,0.0,0.0
1082601,10,pk,WP Saha,25,17,2,2,147.06,0,0,0,0.0,0.0,0.0
1082601,10,pk,AR Patel,0,1,0,0,0.0,1,24,36,4.0,4.0,9.0
1082601,10,pk,MM Sharma,10,8,2,0,125.0,0,18,30,3.0,3.0,10.0
1082601,10,pk,VR Aaron,4,5,0,0,80.0,1,12,23,2.0,2.0,11.5
1082601,10,pk,Sandeep Sharma,0,0,0,0,0.0,0,18,28,3.0,3.0,9.33
1082601,10,pk,I Sharma,0,0,0,0,0.0,0,12,16,2.0,2.0,8.0
1082601,10,kkr,SP Narine,37,18,4,3,205.56,1,24,19,4.0,4.0,4.75
1082601,10,kkr,G Gambhir,72,49,11,0,146.94,0,0,0,0.0,0.0,0.0
1082601,10,kkr,RV Uthappa,26,16,3,1,162.5,0,0,0,0.0,0.0,0.0
1082601,10,kkr,MK Pandey,25,16,2,1,156.25,0,0,0,0.0,0.0,0.0
1082601,10,kkr,YK Pathan,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
1082601,10,kkr,SA Yadav,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
1082601,10,kkr,CR Woakes,0,0,0,0,0.0,2,18,30,3.0,3.0,10.0
1082601,10,kkr,C de Grandhomme,0,0,0,0,0.0,1,14,15,2.2,2.33,6.44
1082601,10,kkr,PP Chawla,0,0,0,0,0.0,1,18,36,3.0,3.0,12.0
1082601,10,kkr,UT Yadav,0,0,0,0,0.0,4,24,33,4.0,4.0,8.25
1082601,10,kkr,TA Boult,0,0,0,0,0.0,0,24,36,4.0,4.0,9.0
1082602,10,mi,PA Patel,3,8,0,0,37.5,0,0,0,0.0,0.0,0.0
1082602,10,mi,JC Buttler,2,5,0,0,40.0,0,0,0,0.0,0.0,0.0
1082602,10,mi,RG Sharma,0,2,0,0,0.0,0,0,0,0.0,0.0,0.0
1082602,10,mi,MJ McClenaghan,0,1,0,0,0.0,2,24,20,4.0,4.0,5.0
1082602,10,mi,N Rana,11,16,1,0,68.75,0,0,0,0.0,0.0,0.0
1082602,10,mi,KA Pollard,70,47,3,5,148.94,0,0,0,0.0,0.0,0.0
1082602,10,mi,KH Pandya,37,30,3,1,123.33,1,24,21,4.0,4.0,5.25
1082602,10,mi,HH Pandya,9,4,0,1,225.0,1,12,9,2.0,2.0,4.5
1082602,10,mi,Harbhajan Singh,0,0,0,0,0.0,0,24,23,4.0,4.0,5.75
1082602,10,mi,JJ Bumrah,0,0,0,0,0.0,0,25,39,4.1,4.17,9.35
1082602,10,mi,TG Southee,0,0,0,0,0.0,0,12,23,2.0,2.0,11.5
1082602,10,rcb,CH Gayle,22,27,2,1,81.48,0,0,0,0.0,0.0,0.0
1082602,10,rcb,V Kohli,62,47,5,2,131.91,0,0,0,0.0,0.0,0.0
1082602,10,rcb,AB de Villiers,19,21,0,1,90.48,0,0,0,0.0,0.0,0.0
1082602,10,rcb,KM Jadhav,9,7,0,0,128.57,0,0,0,0.0,0.0,0.0
1082602,10,rcb,P Negi,13,13,0,0,100.0,0,12,28,2.0,2.0,14.0
1082602,10,rcb,Mandeep Singh,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0
1082602,10,rcb,STR Binny,6,4,0,0,150.0,1,12,14,2.0,2.0,7.0
1082602,10,rcb,TS Mills,0,0,0,0,0.0,0,23,36,3.5,3.83,9.4
1082602,10,rcb,S Aravind,0,0,0,0,0.0,0,24,21,4.0,4.0,5.25
1082602,10,rcb,YS Chahal,0,0,0,0,0.0,1,18,31,3.0,3.0,10.33
1082602,10,rcb,S Badree,0,0,0,0,0.0,4,24,9,4.0,4.0,2.25
1082603,10,gl,DR Smith,47,30,8,1,156.67,1,12,10,2.0,2.0,5.0
1082603,10,gl,BB McCullum,49,32,5,3,153.12,0,0,0,0.0,0.0,0.0
1082603,10,gl,SK Raina,35,22,4,1,159.09,0,6,9,1.0,1.0,9.0
1082603,10,gl,KD Karthik,3,5,0,0,60.0,0,0,0,0.0,0.0,0.0
1082603,10,gl,AJ Finch,33,19,3,2,173.68,0,0,0,0.0,0.0,0.0
1082603,10,gl,Ishan Kishan,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
1082603,10,gl,RA Jadeja,0,0,0,0,0.0,1,24,40,4.0,4.0,10.0
1082603,10,gl,P Kumar,0,0,0,0,0.0,1,24,51,4.0,4.0,12.75
